workspaceId,created,amount
4800539376222208,2023-02,5773212373
4800539376222208,2023-03,-4029674091
4800539376222208,2023-04,6188587051
4800539376222208,2023-05,358160105
4800539376222208,2023-06,1143082400
4800539376222208,2023-07,1397889131
4800539376222208,2023-08,1480027321
4800539376222208,2023-09,-12777065
4800539376222208,2023-10,-601440185
4800539376222208,2023-11,-1210771692
4800539376222208,2023-12,3193504484
4800539376222208,2024-01,667330061
4800539376222208,2024-02,784718768
4800539376222208,2024-03,1800881714
4800539376222208,2024-04,3114383137
4800539376222208,2024-05,468301977
4800539376222208,2024-06,1036991635
4800539376222208,2024-07,102847067
4800539376222208,2024-08,-1154741562
5434930708348928,2023-06,1829494011
5434930708348928,2023-07,2121805732
5434930708348928,2023-08,1433441944
5434930708348928,2023-09,76751913
5434930708348928,2023-10,-426819657
5434930708348928,2023-11,-1776867507
5434930708348928,2023-12,2959561993
5434930708348928,2024-01,670859778
5434930708348928,2024-02,989573769
5434930708348928,2024-03,1415850761
5434930708348928,2024-04,2877914241
5434930708348928,2024-05,374537894
5434930708348928,2024-06,1102749040
5434930708348928,2024-07,-55593069
5434930708348928,2024-08,-1080678005
5506710584164352,2021-11,33129285
5506710584164352,2021-12,82262020
5506710584164352,2022-01,75151224
5506710584164352,2022-02,83004908
5506710584164352,2022-03,64925121
5506710584164352,2022-04,253784851
5506710584164352,2022-05,83675185
5506710584164352,2022-06,-487396021
5506710584164352,2022-07,87957348
5506710584164352,2022-08,17921613
5506710584164352,2022-09,-83518544
5506710584164352,2022-10,166121139
5506710584164352,2022-11,85577973
5506710584164352,2022-12,167899226
5506710584164352,2023-01,1399951944
5506710584164352,2023-02,23642122486
5506710584164352,2023-03,-7753687433
5506710584164352,2023-04,3621316
5506710584164352,2023-05,401931017
5506710584164352,2023-06,2441950645
5506710584164352,2023-07,1613307884
5506710584164352,2023-08,1672974842
5506710584164352,2023-09,-18999062
5506710584164352,2023-10,-1082295115
5506710584164352,2023-11,-2328478210
5506710584164352,2023-12,4740792788
5506710584164352,2024-01,-325910546
5506710584164352,2024-02,1095365575
5506710584164352,2024-03,1245555193
5506710584164352,2024-04,1335116606
5506710584164352,2024-05,832144085
5506710584164352,2024-06,1476393783
5506710584164352,2024-07,-1162374942
5506710584164352,2024-08,-1164199147
5983985402380288,2023-05,504193848
5983985402380288,2023-06,3184837079
5983985402380288,2023-07,1837328493
5983985402380288,2023-08,2184853108
5983985402380288,2023-09,-485727734
5983985402380288,2023-10,-1714334519
5983985402380288,2023-11,-3441189196
5983985402380288,2023-12,7442219847
5983985402380288,2024-01,1242230903
5983985402380288,2024-02,1853806617
5983985402380288,2024-03,2164190009
5983985402380288,2024-04,3032636863
5983985402380288,2024-05,1229136583
5983985402380288,2024-06,1448248291
5983985402380288,2024-07,-750870239
5983985402380288,2024-08,-1029611788
6301997028343808,2023-03,1030710553
6301997028343808,2023-05,386248596
6301997028343808,2023-06,1442854120
6301997028343808,2023-07,1208250851
6301997028343808,2023-08,1352815319
6301997028343808,2023-09,-44916159
6301997028343808,2023-10,-480395114
6301997028343808,2023-11,-1337492187
6301997028343808,2023-12,3322961750
6301997028343808,2024-01,847935266
6301997028343808,2024-02,649685397
6301997028343808,2024-03,1640080511
6301997028343808,2024-04,2838415582
6301997028343808,2024-05,462121508
6301997028343808,2024-06,832608390
6301997028343808,2024-07,-115342812
6301997028343808,2024-08,-951597003
6310901569290240,2023-09,0
