workspaceId,created,amount
4800539376222208,2023-02,11898275667
4800539376222208,2023-03,39454546010
4800539376222208,2023-05,455933566
4800539376222208,2023-06,2626737704
4800539376222208,2023-07,2336675672
4800539376222208,2023-08,2608021910
4800539376222208,2023-09,1449210341
4800539376222208,2023-10,1387384075
4800539376222208,2023-11,1581016343
4800539376222208,2023-12,1589809039
4800539376222208,2024-01,1543993320
4800539376222208,2024-02,1294381616
4800539376222208,2024-03,2039845376
4800539376222208,2024-04,3443057292
4800539376222208,2024-05,813589898
4800539376222208,2024-06,1843665243
4800539376222208,2024-07,1747856556
4800539376222208,2024-08,2788083100
5434930708348928,2023-06,2154646557
5434930708348928,2023-07,3727613247
5434930708348928,2023-08,2750822066
5434930708348928,2023-09,1343846820
5434930708348928,2023-10,1238954211
5434930708348928,2023-11,1547950347
5434930708348928,2023-12,1329207245
5434930708348928,2024-01,1452348397
5434930708348928,2024-02,1379712558
5434930708348928,2024-03,1667499127
5434930708348928,2024-04,3320632875
5434930708348928,2024-05,760665395
5434930708348928,2024-06,1790765357
5434930708348928,2024-07,1718034935
5434930708348928,2024-08,2899172458
5506710584164352,2021-11,58709372
5506710584164352,2021-12,112307251
5506710584164352,2022-01,105629272
5506710584164352,2022-02,108424833
5506710584164352,2022-03,176226356
5506710584164352,2022-04,432072628
5506710584164352,2022-05,160186140
5506710584164352,2022-06,128227008
5506710584164352,2022-07,81004754
5506710584164352,2022-08,35484622
5506710584164352,2022-09,136126300
5506710584164352,2022-10,356938229
5506710584164352,2022-11,330646553
5506710584164352,2022-12,342066413
5506710584164352,2023-01,2946937155
5506710584164352,2023-02,37882096274
5506710584164352,2023-03,10204962370
5506710584164352,2023-04,17055219
5506710584164352,2023-05,584438246
5506710584164352,2023-06,3560783143
5506710584164352,2023-07,2858152070
5506710584164352,2023-08,3295343661
5506710584164352,2023-09,2234219032
5506710584164352,2023-10,1954788787
5506710584164352,2023-11,2366585771
5506710584164352,2023-12,2320266971
5506710584164352,2024-01,2341155235
5506710584164352,2024-02,2021513203
5506710584164352,2024-03,2038176652
5506710584164352,2024-04,2283714993
5506710584164352,2024-05,1106645640
5506710584164352,2024-06,2407603590
5506710584164352,2024-07,2314306454
5506710584164352,2024-08,3121948386
5983985402380288,2023-05,470752420
5983985402380288,2023-06,4546407837
5983985402380288,2023-07,3500975179
5983985402380288,2023-08,4188451278
5983985402380288,2023-09,3250186056
5983985402380288,2023-10,2818961803
5983985402380288,2023-11,3769675156
5983985402380288,2023-12,3767764492
5983985402380288,2024-01,3576813668
5983985402380288,2024-02,3346153840
5983985402380288,2024-03,3437835816
5983985402380288,2024-04,3515191134
5983985402380288,2024-05,2269661883
5983985402380288,2024-06,2877842168
5983985402380288,2024-07,3506973258
5983985402380288,2024-08,3267104473
6301997028343808,2023-03,5784521006
6301997028343808,2023-05,535823041
6301997028343808,2023-06,2778650219
6301997028343808,2023-07,2363928792
6301997028343808,2023-08,2729141313
6301997028343808,2023-09,1393645877
6301997028343808,2023-10,1415844600
6301997028343808,2023-11,1559375343
6301997028343808,2023-12,1556877382
6301997028343808,2024-01,1478368819
6301997028343808,2024-02,1077624681
6301997028343808,2024-03,2010492375
6301997028343808,2024-04,3385366977
6301997028343808,2024-05,851753195
6301997028343808,2024-06,1696105601
6301997028343808,2024-07,1484903119
6301997028343808,2024-08,2902641753
